# Example of 'dataset.csv' containing the first 100 lines for demonstration purposes. 
# This file mimics the structure of the actual dataset, which is significantly larger. 

['TimeStep', 'Time', 'Cell Type', 'Coordinates:0', 'Coordinates:1', 'Coordinates:2', 'U:0', 'U:1', 'U:2', 'k', 'omega', 'p']
['0', '0.017', '12', '264.06', '53.125', '39.062', '-75.192', '-0.65256', '0.75236', '0.23517', '1.4525', '162.18']
['0', '0.017', '12', '276.56', '53.125', '39.062', '-73.682', '-0.67064', '0.19389', '0.22441', '1.4395', '208.52']
['0', '0.017', '12', '303.12', '56.25', '40.625', '-70.919', '-0.8991', '0.084693', '0.22295', '1.4786', '358.82']
['0', '0.017', '12', '264.06', '78.125', '39.062', '-79.182', '-6.0992', '0.41366', '0.36862', '1.8885', '56.173']
['0', '0.017', '12', '301.56', '78.125', '39.062', '-71.026', '-3.6896', '-0.18936', '0.23033', '1.5019', '381.93']
['0', '0.017', '12', '275.78', '101.56', '38.281', '-65.911', '4.0627', '-4.9477', '1.3671', '5.5172', '39.056']
['0', '0.017', '12', '288.28', '101.56', '38.281', '-69.657', '-6.3762', '-5.3752', '0.8209', '3.1934', '248.18']
['0', '0.017', '12', '264.06', '53.125', '51.562', '-76.035', '-0.82644', '0.77538', '0.24126', '1.4699', '150.21']
['0', '0.017', '12', '276.56', '53.125', '51.562', '-74.016', '-0.77008', '0.42912', '0.22715', '1.4464', '201.23']
['0', '0.017', '12', '301.56', '78.125', '51.562', '-70.874', '-3.5507', '0.83043', '0.23169', '1.4995', '392.67']
['0', '0.017', '12', '300.39', '100.78', '50.391', '-68.793', '-9.772', '4.7022', '0.47451', '2.3996', '620.52']
['0', '0.017', '12', '264.06', '53.125', '64.062', '-75.481', '-0.55054', '0.30629', '0.23338', '1.4424', '175.91']
['0', '0.017', '12', '276.56', '53.125', '64.062', '-73.686', '-0.39469', '0.43946', '0.22494', '1.4337', '209.59']
['0', '0.017', '12', '303.12', '56.25', '65.625', '-70.97', '-0.63784', '0.49199', '0.22521', '1.4767', '352.77']
['0', '0.017', '12', '289.06', '78.125', '64.062', '-73.064', '-3.0609', '1.896', '0.23593', '1.4961', '276.51']
['0', '0.017', '12', '315.62', '81.25', '65.625', '-70.161', '-2.4535', '0.96222', '0.23188', '1.5111', '434.94']
['0', '0.017', '12', '253.12', '56.25', '78.125', '-75.067', '-0.41772', '0.34289', '0.22803', '1.3881', '158.41']
['0', '0.017', '12', '290.62', '56.25', '78.125', '-71.928', '-0.49077', '0.37375', '0.22692', '1.448', '289.56']
['0', '0.017', '12', '290.62', '81.25', '78.125', '-72.513', '-2.2461', '1.0327', '0.22903', '1.457', '284.21']
['0', '0.017', '12', '303.12', '81.25', '78.125', '-71.248', '-2.1044', '0.91903', '0.2299', '1.4795', '359.32']
['0', '0.017', '12', '290.62', '106.25', '78.125', '-73.918', '-3.3073', '2.126', '0.2567', '1.5356', '257.43']
['0', '0.017', '12', '303.12', '106.25', '78.125', '-72.257', '-3.0957', '2.1128', '0.24117', '1.5178', '343.24']
['0', '0.017', '12', '318.75', '62.5', '93.75', '-69.675', '-0.5874', '0.13002', '0.23135', '1.5046', '430.44']
['0', '0.017', '12', '273.44', '53.125', '39.062', '-74.073', '-0.66593', '0.23962', '0.22571', '1.4391', '191.66']
['0', '0.017', '12', '264.06', '71.875', '39.062', '-78.787', '-4.905', '0.96525', '0.32393', '1.7279', '54.633']
['0', '0.017', '12', '264.06', '53.125', '48.438', '-76.006', '-0.87432', '0.82632', '0.24389', '1.4803', '149.62']
['0', '0.017', '12', '273.44', '53.125', '48.438', '-74.497', '-0.86235', '0.43243', '0.22909', '1.4517', '184.73']
['0', '0.017', '12', '276.56', '53.125', '48.438', '-74.011', '-0.79854', '0.35335', '0.22655', '1.4487', '202.51']
['0', '0.017', '12', '285.94', '53.125', '48.438', '-72.604', '-0.73845', '0.22666', '0.22332', '1.4518', '265.37']
['0', '0.017', '12', '286.72', '98.438', '38.281', '-75.166', '-8.0566', '-3.6896', '0.50448', '2.2746', '159.98']
['0', '0.017', '12', '287.11', '75.781', '49.609', '-71.289', '-6.7158', '0.078163', '0.26562', '1.658', '411.46']
['0', '0.017', '12', '275.78', '98.438', '49.219', '-12.922', '1.6091', '2.0678', '0.8153', '15.669', '-96.265']
['0', '0.017', '12', '287.4', '99.805', '49.902', '-20.42', '9.1239', '-0.88351', '0.88919', '38.115', '-147.53']
['0', '0.017', '12', '298.44', '78.125', '39.062', '-71.386', '-3.9145', '-0.30935', '0.23086', '1.5025', '363.44']
['0', '0.017', '12', '288.28', '98.438', '38.281', '-74.861', '-7.9682', '-3.739', '0.45969', '2.1534', '201.65']
['0', '0.017', '12', '287.6', '99.805', '49.902', '-20.702', '9.3727', '-0.73985', '0.84447', '37.865', '-150.64']
['0', '0.017', '12', '299.61', '99.219', '49.609', '-69.087', '-10.326', '2.8531', '0.3517', '2.013', '623.59']
['0', '0.017', '12', '275.78', '101.56', '49.219', '-10.757', '0.83255', '0.62062', '4.0378', '19.83', '-61.436']
['0', '0.017', '12', '287.4', '100.2', '49.902', '-21.025', '9.3444', '-1.0343', '0.93361', '37.197', '-143.49']
['0', '0.017', '12', '287.6', '100.2', '49.902', '-21.302', '9.5962', '-0.87927', '0.88028', '36.703', '-145.79']
['0', '0.017', '12', '300.39', '100.78', '49.609', '-67.886', '-10.24', '3.5846', '0.50109', '2.5473', '663.78']
['0', '0.017', '12', '299.61', '125.78', '49.609', '-29.645', '1.4542', '1.0747', '0.49646', '7.7535', '80.009']
['0', '0.017', '12', '273.44', '53.125', '51.562', '-74.511', '-0.82851', '0.48222', '0.22916', '1.4481', '183.3']
['0', '0.017', '12', '264.06', '53.125', '60.938', '-75.928', '-0.80161', '0.35584', '0.24078', '1.4689', '163.74']
['0', '0.017', '12', '273.44', '53.125', '60.938', '-74.392', '-0.72917', '0.46681', '0.22879', '1.4471', '194.96']
['0', '0.017', '12', '274.61', '74.219', '62.109', '-78.492', '-5.0965', '3.8745', '0.3072', '1.7907', '92.072']
['0', '0.017', '12', '285.94', '53.125', '51.562', '-72.602', '-0.69071', '0.38128', '0.22435', '1.4504', '264.64']
['0', '0.017', '12', '276.56', '53.125', '60.938', '-73.929', '-0.66532', '0.47812', '0.22666', '1.445', '209.49']
['0', '0.017', '12', '285.94', '53.125', '60.938', '-72.559', '-0.6116', '0.54479', '0.22419', '1.4499', '265.92']
['0', '0.017', '12', '275.39', '74.219', '62.109', '-77.969', '-4.8482', '3.5768', '0.29132', '1.7247', '105.95']
['0', '0.017', '12', '287.11', '75.781', '50.391', '-71.062', '-6.6097', '1.034', '0.26348', '1.6593', '423.82']
['0', '0.017', '12', '275.78', '98.438', '50.781', '-23.663', '8.1183', '-0.89997', '2.8661', '22.664', '-111.56']
['0', '0.017', '12', '276.56', '96.875', '60.938', '-78.114', '-5.3053', '2.6688', '0.42994', '2.089', '48.237']
['0', '0.017', '12', '299.61', '99.219', '50.391', '-69.935', '-9.6989', '3.8933', '0.33835', '1.9314', '585.47']
['0', '0.017', '12', '298.44', '78.125', '60.938', '-71.429', '-3.357', '1.3096', '0.23114', '1.4996', '358.62']
['0', '0.017', '12', '298.44', '96.875', '60.938', '-73.207', '-5.9972', '3.5846', '0.28163', '1.6563', '343.84']
['0', '0.017', '12', '285.94', '103.12', '26.562', '-75.121', '-7.2744', '-3.5832', '0.57007', '2.2699', '212.83']
['0', '0.017', '12', '286.72', '101.56', '36.719', '-71.097', '-6.1856', '-3.5392', '0.91619', '3.2052', '238.61']
['0', '0.017', '12', '289.06', '71.875', '39.062', '-72.531', '-2.789', '-0.53534', '0.22715', '1.4706', '298.08']
['0', '0.017', '12', '298.44', '71.875', '48.438', '-71.191', '-2.2999', '0.23539', '0.22388', '1.4771', '374.28']
['0', '0.017', '12', '264.06', '96.875', '39.062', '-69.709', '3.42', '-3.737', '1.3916', '5.0617', '18.295']
['0', '0.017', '12', '264.06', '96.875', '48.438', '-18.66', '-0.044864', '3.141', '1.3865', '11.009', '-70.196']
['0', '0.017', '12', '301.56', '78.125', '48.438', '-70.817', '-3.8015', '0.29779', '0.22933', '1.5026', '395.37']
['0', '0.017', '12', '310.94', '96.875', '48.438', '-70.433', '-5.6456', '0.6446', '0.24746', '1.5776', '484.21']
['0', '0.017', '12', '298.44', '71.875', '51.562', '-71.191', '-2.2063', '0.56975', '0.22523', '1.4762', '372.21']
['0', '0.017', '12', '298.44', '71.875', '60.938', '-71.338', '-2.0095', '0.88913', '0.22497', '1.4754', '353.54']
['0', '0.017', '12', '274.8', '75.391', '50.195', '-24.171', '4.6185', '1.1843', '1.4176', '51.257', '-239.88']
['0', '0.017', '12', '264.06', '96.875', '51.562', '-30.247', '7.4181', '-1.437', '3.526', '16.112', '-93.766']
['0', '0.017', '12', '264.06', '96.875', '60.938', '-77.921', '-1.7736', '1.7535', '0.62196', '2.5745', '27.501']
['0', '0.017', '12', '273.44', '96.875', '60.938', '-78.153', '-4.6318', '2.2265', '0.46063', '2.1807', '31.016']
['0', '0.017', '12', '281.15', '75.195', '50.098', '-62.245', '1.3206', '-8.2092', '0.8807', '40.266', '213.08']
['0', '0.017', '12', '275.39', '86.719', '50.391', '-19.406', '2.7122', '-1.2705', '0.79212', '23.879', '-178.71']
['0', '0.017', '12', '281.2', '87.402', '50.049', '-10.218', '1.5459', '-1.931', '0.63136', '90.592', '-160.84']
['0', '0.017', '12', '280.86', '75.781', '55.859', '-76.164', '-5.8204', '6.3343', '0.32588', '2.0254', '188.25']
['0', '0.017', '12', '275.78', '85.938', '55.469', '-76.147', '-1.2494', '3.6761', '0.61424', '4.281', '-79.351']
['0', '0.017', '12', '292.97', '85.938', '55.469', '-72.496', '-5.7793', '3.3523', '0.26127', '1.5924', '377.88']
['0', '0.017', '12', '292.97', '76.562', '50.781', '-71.358', '-4.3703', '1.0581', '0.23918', '1.5148', '377.47']
['0', '0.017', '12', '293.36', '86.719', '50.391', '-70.428', '-7.4184', '2.1316', '0.26577', '1.652', '532.9']
['0', '0.017', '12', '292.97', '76.562', '55.469', '-71.771', '-4.0057', '1.4683', '0.23766', '1.5138', '351.64']
['0', '0.017', '12', '273.44', '103.12', '60.938', '-72.154', '-3.658', '2.8826', '0.76312', '2.8511', '39.744']
['0', '0.017', '12', '286.72', '123.44', '50.781', '-28.778', '4.1947', '-3.2448', '0.67361', '5.7358', '57.204']
['0', '0.017', '12', '276.56', '103.12', '60.938', '-73.159', '-4.6901', '3.2229', '0.67947', '2.6823', '46.742']
['0', '0.017', '12', '285.94', '103.12', '60.938', '-74.732', '-6.1873', '4.6806', '0.49524', '2.2755', '104.17']
['0', '0.017', '12', '299.61', '100.78', '50.391', '-68.047', '-10.045', '5.611', '0.51288', '2.6111', '632.79']
['0', '0.017', '12', '299.61', '124.22', '50.391', '-30.031', '2.2725', '0.9793', '0.74122', '8.5402', '86.579']

...

# --- End of first 100 Lines ---
